CURRENT_LANGUAGE,English,Français,Italiano,Deutsch,Español (España),Español (LatAm),Português (BR),Русский,Українська,简体中文,繁体中文,日本語,한국어,Polski,Türkçe,ENDLINE
NAME_POUTINE,POUTINE,POUTINE,POUTINE,POUTINE,POUTINE,POUTINE,POUTINE,ПУТИНЭ,ПУТІНЕ,盖浇薯条,蓋澆薯條,プーティン,푸틴느,POUTINE,POUTINE,ENDLINE
NAME_BIG JOE,BIG JOE,GROS JOE,BIG JOE,BIG JOE,GRAN JOE,GRAN JOE,GRANDE JOE,БОЛЬШОЙ ДЖО,ВЕЛИКИЙ ДЖО,巧克力夾心蛋糕餅,巧克力夹心蛋糕饼,ビッグジョー,빅 조,DUŻY JOE,BÜYÜK JOE,ENDLINE
NAME_BLUE BUB BERRY,BLUE BUBBERRY,BLUBBAIE BLEUE,BACCABUB BLU,BLAU BUBBEERE,BUBAYA AZUL,BUBAYA AZUL,BUBBAGA AZUL,СИНЯЯ БУБИКА,СИНЯ БЮБИЦЯ,蓝布布莓,白布布莓,青色のバブベリー,파란색 밥 베리,BNIEBIESKI BUBJAGODA,MAVİ BUBYEMİŞİ,ENDLINE
NAME_WHITE BUB BERRY,WHITE BUBBERRY,BLUBBAIE BLANCHE,BACCABUB BIANCA,WEIẞE BUBBEERE,BUBAYA BLANCA,BUBAYA BLANCA,BUBBAGA BRANCA,БЕЛАЯ БУБИКА,БІЛА БЮБИЦЯ,白布布莓 ,白布布莓 ,白色のバブベリー,흰색 밥 베리,BIAŁA BUBJAGODA,BEYAZ BUBYEMİŞİ,ENDLINE
NAME_PURPLE BUB BERRY,PURPLE BUBBERRY,BLUBBAIE VIOLET,BACCABUB VIOLA,LILA BUBBEERE,BUBAYA MORADA,BUBAYA PÚRPURA,BUBBAGA ROXA,ЛИЛОВАЯ БУБИКА,ФІОЛЕТОВА БЮБИЦЯ,蓝布布莓,白布布莓,紫色のバブベリー,보라색 밥 베리,FIOLETOWA BUBJAGODA,MOR BUBYEMİŞİ,ENDLINE
NAME_PAW CAKE,PAW CAKE,PAW CAKE,TORTA ZAMPE,TATZE KUCHEN,PASTEL GARRA,PASTEL GARRA,BOLO PATA,ПИРОГ ЛАПКА,ПИРІГ ЛАПКА,爪爪糕,爪爪糕,パウケーキ,포우 케이크,CIASTO ŁAPKA,PATI KEK,ENDLINE
NAME_POOR MAN PUDDING,POOR MAN’S PUDDING,POUDING CHÔMEUR,BUDINO DISOCCUPATO,ARBEITSLOSENPUDDING,PUDÍN DESEMPLEADOS,PUDÍN DESEMPLEADOS,PUDIM DESEMPREGADO,ПУДИНГ БЕЗРАБОТНЫЙ,ПУДИНГ БЕЗРОБІТНИЙ,穷人布丁,窮人布丁,失業プディング,실업 푸딩,PUDDING BEZROBOCIA,İŞSIZLIK PUDINGI,ENDLINE
NAME_CHEESE CURDS,CHEESE CURDS,FROMAGE EN GRAINS,FORMAGGI CAGLIATI,KÄSEBRUCHSTÜCKE,QUESO EN GRANO,QUESO EN GRANO,COALHO GRANULADO,СЫРНЫЕ ЗЁРНА,СИРНЕ ЗЕРНО,奶酪凝块,起司凝塊,チーズカード,치즈 커드,SKRZYPKI SEROWE,PEYNİR PARÇACIKLARI,ENDLINE
NAME_TOURTIERE,TOURTIERE,TOURTIÈRE,TOURTIÈRE,TOURTIERE,TOURTIÈRE,TOURTIÈRE,TOURTIÈRE,ТУРТЬЕР,ТУРТЬЄР,肉饼馅饼,肉餅餡餅,トゥーティエール,투르티에르,TOURTIÈRE,TOURTIERE,ENDLINE
NAME_MAPLE COOKIES,MAPLE LEAF COOKIES,COOKIES FEUILLE D'ÉRABLE,BISCOTTI FOGLIA D'ACERO,AHORNBLATTKEKSE,GALLETA DE HOJA DE ARCE,GALLETA DE HOJA DE ARCE,BISCOITO FOLHA DE BORDO,КЛЕНОВЫЕ ПЕЧЕНЬЯ,КЛЕНОВЕ ПЕЧИВО,枫叶饼干,楓葉餅乾,メープルリーフクッキー,단풍잎 쿠키,CIASTKA KLONOWE,AKÇAAĞAÇ YAPRAĞI KURABİYESİ,ENDLINE
NAME_HOST CUTTINGS,HOST CUTTINGS,RETAILLES D'HOSTIES,RITAGLI DI OSTIE,HOSTIEN-ABSCHNITTE,RECORTES DE HOSTIAS,RECORTES DE HOSTIAS,RECORTES DE HÓSTIAS,ОБРЕЗКИ ОСТИЙ,ОБРІЗКИ ГОСТІЙ,圣饼碎片,聖餅碎片,ホスト挿し木,호스트 조각,ŚCINKI HOSTII,EVHARİSTİK PARÇALARI,ENDLINE
NAME_PAPINO COOKIES,PAPINO COOKIES,COOKIES PAPINO,BISCOTTI PAPINO,PAPINOKEKS,GALLETAS PAPINO,GALLETAS PAPINO,BISCOITO PAPINO,ПЕЧЕНЬЕ ПАПИНО,ПЕЧИВО ПАПІНО,帕皮诺饼干,帕皮諾餅乾,パピノクッキー,파피노 쿠키,CIASTKA PAPINO,PAPINO KURABİYESİ,ENDLINE
NAME_MAPLE TOFFEE,MAPLE TAFFY,TIRE D'ÉRABLE,CARAMELLA ALL'ACERO,AHORNTAFFY,CARAMELO DE ARCE,CARAMELO DE ARCE,TOFFE DE BORDO,КЛЕНОВАЯ ИРИСКА,КЛЕНОВА ІРИСКА,枫糖拉丝糖,楓糖拉絲糖,メープルタフィー,메이플 태피,TOFFI KLONOWE,AKÇAAĞAÇ ŞEKERLEMESI,ENDLINE
NAME_COFFEE BAR,COFFEE CHOCOLATE BAR,BARRE DE CHOCOLAT AU CAFÉ,TAVOLETTA DI CIOCCOLATO AL CAFFÈ,KAFFEESCHOKOLADENRIEGEL,BARRA DE CHOCOLATE Y CAFÉ,BARRA DE CHOCOLATE Y CAFÉ,BARRA DE CAFÉ CHOCOLATPORTE,КОФЕЙНЫЙ ШОКОЛАДНЫЙ БАТОНЧИК,КАВА ШОКОЛАДНИЙ БАТОНЧИК,咖啡巧克力棒,咖啡巧克力棒,コーヒーチョコレートバー,커피 초콜릿 바,TABLICZKA CZEKOLADY KAWOWEJ,KAHVE ÇIKOLATA BARI,ENDLINE
NAME_ALL DRESSED,ALL-DRESSED STEAMIE,HOT-DOG TOUT GARNI,STEAMIE TUTTO GUARNITO,ALL-DRESSED-DAMPFWURST,PERRITO TODO INCLUIDO,PERRITO TODO INCLUIDO,CACHORRO TUDO COMPLETO,ХОТ-ДОГ СО ВСЕМ,ХОТ-ДОГ З УСІМ,全配蒸热狗,全配蒸熱狗,オールドレスド蒸しドッグ,올인 핫도그,HOT-DOG ZE WSZYSTKIM,TAM DONANIMLI BUHARLI SOSIS,ENDLINE
NAME_SUGAR FUDGE,MAPLE FUDGE,SUCRE À LA CRÈME,FUDGE ALL'ACERO,AHORNFUDGE,FUDGE DE ARCE,FUDGE DE ARCE,FUDGE DE BORDO,КЛЕНОВЫЙ ФАДЖ,КЛЕНОВИЙ ФАДЖ,枫糖软糖,楓糖軟糖,メープルファッジ,메이플 퍼지,FUDGE KLONOWY,AKÇAAĞAÇ FUDGE,ENDLINE
